"","x"
"914",12
"915",6
"916",10
"917",9
"918",14
"919",9
"920",9
"921",8
"922",7
"923",7
"924",8
"925",13
"926",12
"927",6
"928",11
"929",10
"930",10
"931",7
"932",6
"933",9
"934",14
"935",7
"936",8
"937",11
"938",9
"939",8
"940",5
"941",4
"942",5
"943",9
"944",10
"945",12
"946",6
"947",13
"948",11
"949",10
"950",5
"951",13
"952",10
"953",6
"954",12
"955",8
"956",6
"957",4
"958",11
"959",6
"960",5
"961",8
"962",8
"963",11
"964",10
"965",10
"966",7
"967",9
"968",10
"969",4
"970",14
"971",8
"972",12
"973",7
"974",9
"975",4
"976",13
"977",12
"978",15
"979",7
"980",18
"981",13
"982",7
"983",8
"984",14
"985",9
"986",10
"987",12
"988",13
"989",4
"990",10
"991",10
"992",5
"993",10
"994",9
"995",11
"996",10
"997",13
"998",7
"999",14
"1000",8
"1001",1
"1002",13
"1003",10
"1004",10
"1005",8
"1006",9
"1007",11
"1008",10
"1009",11
"1010",11
"1011",12
"1012",6
"1013",10
"1014",9
"1015",10
"1016",9
"1017",9
"1018",8
"1019",14
"1020",9
"1021",8
"1022",11
"1023",14
"1024",18
"1025",10
"1026",13
"1027",11
"1028",12
"1029",6
"1030",9
"1031",11
"1032",6
"1033",8
"1034",6
"1035",9
"1036",9
"1037",17
"1038",9
"1039",8
"1040",11
"1041",11
"1042",7
"1043",12
"1044",15
"1045",11
"1046",9
"1047",12
"1048",12
"1049",10
"1050",7
"1051",9
"1052",7
"1053",10
"1054",8
"1055",6
"1056",8
"1057",13
"1058",6
"1059",7
"1060",7
"1061",7
"1062",14
"1063",9
"1064",10
"1065",8
"1066",8
"1067",6
"1068",12
"1069",7
"1070",12
"1071",10
"1072",15
"1073",6
"1074",9
"1075",12
"1076",12
"1077",11
"1078",10
"1079",10
"1080",11
"1081",10
"1082",12
"1083",10
"1084",8
"1085",10
"1086",10
"1087",8
"1088",9
"1089",18
"1090",8
"1091",8
"1092",9
"1093",10
"1094",9
"1095",12
"1096",9
"1097",11
"1098",8
"1099",13
"1100",15
"1101",9
"1102",4
"1103",12
"1104",10
"1105",10
"1106",8
"1107",7
"1108",15
"1109",11
"1110",11
"1111",11
"1112",7
"1113",7
"1114",12
"1115",9
"1116",13
"1117",13
"1118",8
"1119",9
"1120",7
"1121",11
"1122",12
"1123",12
"1124",12
"1125",10
"1126",7
"1127",9
"1128",10
"1129",6
"1130",10
"1131",9
"1132",6
"1133",12
"1134",7
"1135",6
"1136",8
"1137",8
"1138",13
"1139",8
"1140",11
"1141",13
"1142",12
"1143",12
"1144",9
"1145",9
"1146",10
"1147",9
"1148",4
"1149",12
"1150",9
"1151",17
"1152",8
"1153",13
"1154",9
"1155",13
"1156",11
"1157",17
"1158",14
"1159",11
"1160",7
"1161",8
"1162",10
"1163",13
"1164",10
"1165",12
"1166",6
"1167",8
"1168",7
"1169",10
"1170",12
"1171",12
"1172",10
"1173",10
"1174",7
"1175",5
"1176",9
"1177",10
"1178",9
"1179",7
"1180",10
"1181",9
"1182",17
"1183",7
"1184",5
"1185",11
"1186",8
"1187",10
"1188",14
"1189",7
"1190",10
"1191",13
"1192",10
"1193",10
"1194",9
"1195",14
"1196",10
"1197",8
"1198",15
"1199",11
"1200",11
"1201",12
"1202",9
"1203",11
"1204",9
"1205",17
"1206",9
"1207",11
"1208",18
"1209",7
"1210",13
"1211",12
"1212",6
"1213",7
"1214",9
"1215",8
"1216",11
"1217",10
"1218",7
"1219",13
"1220",17
"1221",13
"1222",16
"1223",11
"1224",10
"1225",7
"1226",11
"1227",10
"1228",13
"1229",11
"1230",10
"1231",12
"1232",12
"1233",11
"1234",8
"1235",9
"1236",8
"1237",9
"1238",8
"1239",14
"1240",12
"1241",13
"1242",9
"1243",6
"1244",13
"1245",8
"1246",9
"1247",10
"1248",8
"1249",15
"1250",9
"1251",7
"1252",18
"1253",14
"1254",10
"1255",10
"1256",12
"1257",11
"1258",9
"1259",10
"1260",14
"1261",5
"1262",16
"1263",9
"1264",11
"1265",12
"1266",15
"1267",12
"1268",7
"1269",12
"1270",7
"1271",14
"1272",8
"1273",9
"1274",14
"1275",10
"1276",12
"1277",10
"1278",8
"1279",11
"1280",12
"1281",17
"1282",8
"1283",10
"1284",18
"1285",11
"1286",13
"1287",13
"1288",5
"1289",10
"1290",8
"1291",10
"1292",7
"1293",11
"1294",13
"1295",11
"1296",10
"1297",8
"1298",9
"1299",5
"1300",13
"1301",6
"1302",10
"1303",6
"1304",9
"1305",10
"1306",9
"1307",11
"1308",11
"1309",8
"1310",5
"1311",8
"1312",9
"1313",13
"1314",11
"1315",10
"1316",8
"1317",9
"1318",7
"1319",7
"1320",5
"1321",6
"1322",13
"1323",10
"1324",11
"1325",1
"1326",6
"1327",11
"1328",9
"1329",8
"1330",9
"1331",17
"1332",6
"1333",11
"1334",14
"1335",7
"1336",11
"1337",11
"1338",16
"1339",10
"1340",8
"1341",7
"1342",11
"1343",8
"1344",7
"1345",10
"1346",14
"1347",6
"1348",13
"1349",6
"1350",7
"1351",4
"1352",10
"1353",12
"1354",12
"1355",15
"1356",12
"1357",9
"1358",9
"1359",9
"1360",5
"1361",10
"1362",4
"1363",9
"1364",12
"1365",7
"1366",11
"1367",11
"1368",12
"1369",6
"1370",13
"1371",7
"1372",4
"1373",13
"1374",7
"1375",7
"1376",12
"1377",11
"1378",8
"1379",13
"1380",9
"1381",7
"1382",10
"1383",12
"1384",11
"1385",10
"1386",7
"1387",5
"1388",7
"1389",5
"1390",6
"1391",13
"1392",13
"1393",13
"1394",8
"1395",10
"1396",11
"1397",10
"1398",6
"1399",11
"1400",7
"1401",9
"1402",14
"1403",8
"1404",13
"1405",11
"1406",14
"1407",11
"1408",8
"1409",7
"1410",13
"1411",13
"1412",9
"1413",8
"1414",13
"1415",5
"1416",13
"1417",12
"1418",12
"1419",13
"1420",15
"1421",10
"1422",12
"1423",6
"1424",11
"1425",10
"1426",10
"1427",10
"1428",6
"1429",11
"1430",11
"1431",6
"1432",11
"1433",7
"1434",7
"1435",10
"1436",10
"1437",11
"1438",13
"1439",15
"1440",10
"1441",10
"1442",11
"1443",4
"1444",13
"1445",12
"1446",12
"1447",10
"1448",10
"1449",13
"1450",7
"1451",7
"1452",6
"1453",9
"1454",10
"1455",10
"1456",10
"1457",11
"1458",15
"1459",8
"1460",7
"1461",9
"1462",8
"1463",9
"1464",6
"1465",10
"1466",9
"1467",6
"1468",7
"1469",11
"1470",9
"1471",10
"1472",12
"1473",14
"1474",8
"1475",12
"1476",10
"1477",10
"1478",11
"1479",10
"1480",12
"1481",10
"1482",9
"1483",8
"1484",10
"1485",8
"1486",12
"1487",17
"1488",8
"1489",9
"1490",8
"1491",9
"1492",8
"1493",16
"1494",12
"1495",10
"1496",10
"1497",10
"1498",11
"1499",12
"1500",11
"1501",7
"1502",10
"1503",8
"1504",8
"1505",6
"1506",7
"1507",7
"1508",6
"1509",4
"1510",10
"1511",14
"1512",7
"1513",12
"1514",12
"1515",12
"1516",13
"1517",17
"1518",9
"1519",17
"1520",15
"1521",16
"1522",8
"1523",13
"1524",11
"1525",11
"1526",11
"1527",15
"1528",9
"1529",10
"1530",11
"1531",10
"1532",11
"1533",11
"1534",10
"1535",12
"1536",11
"1537",5
"1538",6
"1539",12
"1540",9
"1541",7
"1542",11
"1543",13
"1544",12
"1545",9
"1546",7
"1547",13
"1548",10
"1549",8
"1550",10
"1551",14
"1552",6
"1553",9
"1554",9
"1555",12
"1556",9
"1557",9
"1558",6
"1559",6
"1560",13
"1561",16
"1562",9
"1563",13
"1564",6
"1565",9
"1566",7
"1567",5
"1568",11
"1569",12
"1570",11
"1571",10
"1572",18
"1573",13
"1574",11
"1575",11
"1576",11
"1577",14
"1578",11
"1579",10
"1580",12
"1581",7
"1582",16
"1583",7
"1584",9
"1585",9
"1586",12
"1587",7
"1588",10
"1589",8
"1590",13
"1591",8
"1592",8
"1593",12
"1594",14
"1595",10
"1596",9
"1597",11
"1598",11
"1599",10
"1600",11
"1601",11
"1602",9
"1603",8
"1604",9
"1605",11
"1606",11
"1607",9
"1608",13
"1609",9
"1610",9
"1611",7
"1612",11
"1613",10
"1614",11
"1615",11
"1616",9
"1617",9
"1618",8
"1619",8
"1620",8
"1621",11
"1622",15
"1623",10
"1624",5
"1625",9
"1626",14
"1627",13
"1628",9
"1629",10
"1630",7
"1631",10
"1632",13
"1633",14
"1634",11
"1635",9
"1636",13
"1637",11
"1638",13
"1639",11
"1640",14
"1641",12
"1642",11
"1643",8
"1644",7
"1645",11
"1646",9
"1647",8
"1648",7
"1649",12
"1650",9
"1651",13
"1652",8
"1653",9
"1654",13
"1655",6
"1656",7
"1657",10
"1658",11
"1659",7
"1660",5
"1661",14
"1662",9
"1663",9
"1664",5
"1665",7
"1666",11
"1667",13
"1668",9
"1669",13
"1670",10
"1671",12
"1672",14
"1673",10
"1674",10
"1675",8
"1676",11
"1677",17
"1678",11
"1679",8
"1680",12
"1681",9
"1682",11
"1683",7
"1684",5
"1685",15
"1686",11
"1687",16
"1688",8
"1689",6
"1690",7
"1691",12
"1692",5
"1693",13
"1694",7
"1695",8
"1696",13
"1697",12
"1698",9
"1699",11
"1700",12
"1701",9
"1702",9
"1703",12
"1704",11
"1705",12
"1706",6
"1707",10
"1708",4
"1709",8
"1710",11
"1711",10
"1712",6
"1713",12
"1714",4
"1715",14
"1716",6
"1717",14
"1718",5
"1719",10
"1720",8
"1721",7
"1722",5
"1723",9
"1724",8
"1725",16
"1726",12
"1727",7
"1728",8
"1729",14
"1730",9
"1731",9
"1732",7
"1733",7
"1734",8
"1735",10
"1736",10
"1737",11
"1738",5
"1739",10
"1740",11
"1741",13
"1742",14
"1743",9
"1744",8
"1745",11
"1746",8
"1747",12
"1748",12
"1749",10
"1750",6
"1751",14
"1752",9
"1753",3
"1754",13
"1755",6
"1756",11
"1757",8
"1758",5
"1759",10
"1760",10
"1761",11
"1762",11
"1763",8
"1764",6
"1765",15
"1766",10
"1767",8
"1768",10
"1769",12
"1770",9
"1771",10
"1772",8
"1773",13
"1774",9
"1775",13
"1776",9
"1777",11
"1778",9
"1779",13
"1780",9
"1781",11
"1782",9
"1783",11
"1784",8
"1785",11
"1786",13
"1787",13
"1788",12
"1789",11
"1790",7
"1791",15
"1792",6
"1793",7
"1794",11
"1795",5
"1796",12
"1797",5
"1798",18
"1799",12
"1800",17
"1801",8
"1802",10
"1803",10
"1804",8
"1805",8
"1806",8
"1807",15
"1808",14
"1809",6
"1810",9
"1811",8
"1812",7
"1813",12
"1814",8
"1815",10
"1816",11
"1817",7
"1818",8
"1819",5
"1820",10
"1821",9
"1822",8
"1823",13
"1824",10
"1825",8
"1826",9
"1827",13
"1828",7
"1829",11
"1830",13
"1831",13
"1832",8
"1833",9
"1834",15
"1835",13
"1836",8
"1837",9
"1838",9
"1839",8
"1840",9
"1841",8
"1842",10
"1843",10
"1844",6
"1845",12
"1846",11
"1847",13
"1848",15
"1849",10
"1850",11
"1851",11
"1852",9
"1853",13
"1854",12
"1855",11
"1856",10
"1857",8
"1858",9
"1859",7
"1860",4
"1861",13
"1862",9
"1863",8
"1864",15
"1865",13
"1866",11
"1867",7
"1868",8
"1869",12
"1870",11
"1871",11
"1872",9
"1873",6
"1874",8
"1875",9
"1876",8
"1877",14
"1878",10
"1879",17
"1880",9
"1881",18
"1882",13
"1883",12
"1884",12
"1885",12
"1886",8
"1887",15
"1888",11
"1889",9
"1890",10
"1891",14
"1892",14
"1893",13
"1894",7
"1895",13
"1896",10
"1897",8
"1898",5
"1899",11
"1900",9
"1901",13
"1902",12
"1903",13
"1904",11
"1905",11
"1906",4
"1907",12
"1908",9
"1909",7
"1910",7
"1911",13
"1912",11
"1913",12
"1914",6
"1915",15
"1916",11
"1917",10
"1918",12
"1919",8
"1920",10
"1921",12
"1922",12
"1923",8
"1924",20
"1925",7
"1926",7
"1927",11
"1928",6
"1929",6
"1930",8
"1931",11
"1932",14
"1933",12
"1934",10
"1935",11
"1936",11
"1937",15
"1938",14
"1939",10
"1940",7
"1941",5
"1942",9
"1943",6
"1944",11
"1945",9
"1946",6
"1947",6
"1948",7
"1949",6
"1950",9
"1951",13
"1952",14
"1953",12
"1954",8
"1955",17
"1956",9
"1957",11
"1958",7
"1959",9
"1960",10
"1961",14
"1962",9
"1963",9
"1964",9
"1965",7
"1966",8
"1967",12
"1968",16
"1969",9
"1970",15
"1971",10
"1972",10
"1973",12
"1974",11
"1975",11
"1976",16
"1977",9
"1978",9
"1979",16
"1980",12
"1981",9
"1982",12
"1983",9
"1984",10
"1985",4
"1986",12
"1987",7
"1988",10
"1989",6
"1990",12
"1991",14
"1992",15
"1993",13
"1994",13
"1995",11
"1996",9
"1997",7
"1998",11
"1999",8
"2000",8
"2001",15
"2002",12
"2003",10
"2004",6
"2005",8
"2006",9
"2007",14
"2008",6
"2009",10
"2010",6
"2011",10
"2012",5
"2013",8
"2014",12
"2015",9
"2016",10
"2017",9
"2018",14
"2019",14
"2020",11
"2021",11
"2022",8
"2023",12
"2024",7
"2025",11
"2026",10
"2027",11
"2028",10
"2029",10
"2030",11
"2031",8
"2032",12
"2033",12
"2034",11
"2035",5
"2036",10
"2037",13
"2038",10
"2039",9
"2040",8
"2041",4
"2042",17
"2043",9
"2044",8
"2045",6
"2046",9
"2047",7
"2048",10
"2049",8
"2050",9
"2051",13
"2052",11
"2053",12
"2054",8
"2055",11
"2056",11
"2057",12
"2058",11
"2059",6
"2060",10
"2061",16
"2062",6
"2063",8
"2064",9
"2065",3
"2066",9
"2067",11
"2068",11
"2069",15
"2070",8
"2071",13
"2072",8
"2073",9
"2074",10
"2075",11
"2076",19
"2077",6
"2078",9
"2079",10
"2080",12
"2081",8
"2082",10
"2083",10
"2084",5
"2085",8
"2086",7
"2087",12
"2088",10
"2089",17
"2090",9
"2091",8
"2092",7
"2093",8
"2094",4
"2095",9
"2096",12
"2097",12
"2098",9
"2099",13
"2100",9
"2101",11
"2102",11
"2103",8
"2104",11
"2105",9
"2106",10
"2107",9
"2108",4
"2109",10
"2110",9
"2111",8
"2112",12
"2113",4
"2114",6
"2115",16
"2116",13
"2117",12
"2118",16
"2119",12
"2120",6
"2121",7
"2122",11
"2123",18
"2124",9
"2125",11
"2126",8
"2127",9
"2128",10
"2129",7
"2130",6
"2131",12
"2132",7
"2133",11
"2134",7
"2135",9
"2136",12
"2137",9
"2138",13
"2139",10
"2140",11
"2141",7
"2142",15
"2143",11
"2144",9
"2145",13
"2146",9
"2147",11
"2148",8
"2149",6
"2150",14
"2151",9
"2152",7
"2153",13
"2154",10
"2155",6
"2156",10
"2157",12
"2158",8
"2159",17
"2160",14
"2161",14
"2162",15
"2163",12
"2164",13
"2165",11
"2166",6
"2167",12
"2168",8
"2169",9
"2170",9
"2171",13
"2172",13
"2173",8
"2174",10
"2175",12
"2176",11
"2177",15
"2178",14
"2179",6
"2180",9
"2181",7
"2182",6
"2183",9
"2184",9
"2185",11
"2186",11
"2187",8
"2188",10
"2189",10
"2190",10
"2191",16
"2192",11
"2193",10
"2194",6
"2195",14
"2196",9
"2197",8
"2198",11
"2199",8
"2200",11
"2201",10
"2202",10
"2203",11
"2204",12
"2205",10
"2206",7
"2207",6
"2208",9
"2209",9
"2210",11
"2211",10
"2212",5
"2213",6
"2214",12
"2215",11
"2216",11
"2217",12
"2218",7
"2219",7
"2220",7
"2221",8
"2222",16
"2223",13
"2224",12
"2225",14
"2226",5
"2227",12
"2228",8
"2229",5
"2230",16
"2231",10
"2232",9
"2233",8
"2234",8
"2235",8
"2236",10
"2237",6
"2238",12
"2239",13
"2240",12
"2241",9
"2242",7
"2243",10
"2244",7
"2245",13
"2246",14
"2247",9
"2248",6
"2249",9
"2250",12
"2251",15
"2252",16
"2253",7
"2254",6
"2255",8
"2256",10
"2257",6
"2258",9
"2259",13
"2260",17
"2261",12
"2262",10
"2263",9
"2264",5
"2265",13
"2266",8
"2267",10
"2268",7
"2269",9
"2270",7
"2271",10
"2272",8
"2273",12
"2274",14
"2275",10
"2276",8
"2277",8
"2278",10
"2279",11
"2280",6
"2281",17
"2282",11
"2283",8
"2284",15
"2285",6
"2286",10
"2287",9
"2288",11
"2289",14
"2290",14
"2291",16
"2292",7
"2293",12
"2294",9
"2295",2
"2296",5
"2297",9
"2298",8
"2299",10
"2300",12
"2301",8
"2302",12
"2303",7
"2304",10
"2305",12
"2306",7
"2307",12
"2308",10
"2309",10
"2310",7
"2311",14
"2312",12
"2313",9
"2314",11
"2315",8
"2316",6
"2317",6
"2318",10
"2319",11
"2320",10
"2321",10
"2322",8
"2323",13
"2324",14
"2325",9
"2326",10
"2327",3
"2328",4
"2329",9
"2330",10
"2331",7
"2332",6
"2333",10
"2334",9
"2335",6
"2336",6
"2337",7
"2338",10
"2339",6
"2340",8
"2341",17
"2342",11
"2343",9
"2344",11
"2345",6
"2346",11
"2347",11
"2348",11
"2349",10
"2350",9
"2351",7
"2352",11
"2353",9
"2354",6
"2355",15
"2356",5
"2357",10
"2358",8
"2359",11
"2360",17
"2361",12
"2362",10
"2363",11
"2364",17
"2365",10
"2366",9
"2367",10
"2368",10
"2369",10
"2370",17
"2371",8
"2372",8
"2373",12
"2374",10
"2375",9
"2376",11
"2377",11
"2378",12
"2379",11
"2380",18
"2381",5
"2382",12
"2383",12
"2384",6
"2385",10
"2386",16
"2387",11
"2388",10
"2389",12
"2390",9
"2391",4
"2392",10
"2393",6
"2394",11
"2395",6
"2396",9
"2397",7
"2398",8
"2399",10
"2400",7
"2401",10
"2402",9
"2403",11
"2404",13
"2405",9
"2406",10
"2407",10
"2408",4
"2409",10
"2410",9
"2411",11
"2412",12
"2413",14
"2414",6
"2415",10
"2416",13
"2417",5
"2418",7
"2419",9
"2420",9
"2421",9
"2422",8
"2423",7
"2424",6
"2425",13
"2426",13
"2427",13
"2428",12
"2429",8
"2430",11
"2431",11
"2432",12
"2433",10
"2434",12
"2435",8
"2436",6
"2437",9
"2438",16
"2439",6
"2440",8
"2441",9
"2442",11
"2443",9
"2444",11
"2445",15
"2446",11
"2447",7
"2448",10
"2449",12
"2450",7
"2451",10
"2452",11
"2453",9
"2454",8
"2455",10
"2456",6
"2457",10
"2458",7
"2459",5
"2460",7
"2461",11
"2462",10
"2463",9
"2464",16
"2465",8
"2466",12
"2467",7
"2468",9
"2469",7
"2470",10
"2471",8
"2472",10
"2473",5
"2474",14
"2475",6
"2476",10
"2477",7
"2478",10
"2479",4
"2480",12
"2481",7
"2482",6
"2483",5
"2484",7
"2485",11
"2486",12
"2487",9
"2488",9
"2489",11
"2490",15
"2491",14
"2492",10
"2493",6
"2494",11
"2495",16
"2496",16
"2497",13
"2498",3
